"","reads","MGRASTid","trt","rep","Achnanthales","Acidimicrobiales","Acidithiobacillales","Acidobacteriales","Actinomycetales","Aeromonadales","Alismatales","Alteromonadales","Anthocerotales","Aquificales","Arecales","Asterales","Bacillales","Bacteroidales","Bacteroidetes.Order.II..Incertae.sedis","Bangiales","Bdellovibrionales","Bifidobacteriales","Brassicales","Burkholderiales","Buxales","Campylobacterales","Carnivora","Caryophyllales","Caulobacterales","Ceramiales","Charales","Chattonellales","Chlamydomonadales","Chlorellales","Chlorobiales","Chloroflexales","Chromatiales","Chroococcales","Clostridiales","Coleochaetales","Compsopogonales","Coniferales","Corallinales","Coscinodiscales","Cyanidiales","Cyatheales","Cycadales","Cyclotrichida","Cytophagales","Deferribacterales","Deinococcales","Desmidiales","Desulfobacterales","Desulfovibrionales","Desulfurellales","Desulfuromonadales","Dinophysiales","Dioscoreales","Diplogasterida","Enterobacteriales","Ericales","Erysipelotrichales","Euglyphida","Eurotiales","Fagales","Fibrobacterales","Flavobacteriales","Fragilariales","Funariales","Fusobacteriales","Gallionellales","Gelidiales","Gemmatimonadales","Gigartinales","Glaucocystales","Gloeobacterales","Gloeochaetales","Glomerellales","Gnetales","Grimmiales","Halanaerobiales","Hemiaulales","Herpetosiphonales","Hydrogenophilales","Hydroida","Hypnales","Ignatiales","Isochrysidales","Isoptera","Jungermanniales","Kinetoplastida","Klebsormidiales","Kordiimonadales","Ktedonobacterales","Lactobacillales","Lamiales","Legionellales","Lycopodiales","Malpighiales","Marattiales","Marchantiales","Mariprofundales","Melosirales","Mesostigmatales","Methanobacteriales","Methylococcales","Methylophilales","Myxococcales","Nautiliales","Naviculales","Neisseriales","Nitrosomonadales","Nitrospirales","Nostocales","Nymphaeales","Oceanospirillales","Oscillatoriales","Oxalidales","Paraliales","Pasteurellales","Pavlovales","Pelliales","Piperales","Planctomycetales","Pleurocapsales","Poales","Polypodiales","Polytrichales","Porphyridiales","Pottiales","Primates","Prochlorales","Prymnesiales","Pseudomonadales","Pseudoscourfieldiales","Puniceicoccales","Pyramimonadales","Pyrenomonadales","Rhizobiales","Rhodellales","Rhodobacterales","Rhodocyclales","Rhodospirillales","Rickettsiales","Rubrobacterales","Selaginellales","Selenomonadales","Siphonostomatoida","Solanales","Solibacterales","Solirubrobacterales","Sphaerobacterales","Sphaeropleales","Sphagnales","Sphingobacteriales","Sphingomonadales","Spirochaetales","Stylonematales","Synergistales","Syntrophobacterales","Takakiales","Terebellida","Tetraphidales","Thalassionemales","Thalassiophysales","Thermales","Thermoanaerobacterales","Thermodesulfobacteriales","Thermoleophilales","Thermotogales","Thiotrichales","Thoreales","Trichomonadida","Ustilaginales","Vaucheriales","Veneroida","Verrucomicrobiales","Vibrionales","Vitales","Xanthomonadales","Zingiberales","Zygnematales","Acholeplasmatales","Apiales","Austrobaileyales","Candidatus.Brocadiales","Cardiobacteriales","Chlamydiales","Chlorodendrales","Coriobacteriales","Dictyoglomales","Entomoplasmatales","Euglenales","Fabales","Fucales","Gentianales","Halobacteriales","Herpesvirales","Isoetales","Methanosarcinales","Metzgeriales","Mycoplasmatales","Pucciniales","Ranunculales","Rhabditida","Rhizochromulinales","Rhodochaetales","Sapindales","Thermomicrobiales","Amborellales","Batrachospermales","Berberidopsidales","Bryopsidales","Crossosomatales","Dilleniales","Equisetales","Ginkgoales","Magnoliales","Ophiostomatales","Psilotales","Rosales","Sordariales","Canellales","Caudovirales","Cucurbitales","Geraniales","Methanococcales","Sporidiobolales"
"42",1409,"mgm4455779.3","soil","grassland soil",0,28,12,3,220,0,0,8,0,1,0,0,95,0,1,0,0,85,2,36,0,0,0,0,13,0,0,0,0,0,0,0,43,0,51,0,0,0,0,0,0,0,0,0,18,0,1,0,0,23,0,14,0,0,0,0,0,16,0,2,0,1,22,0,0,1,0,1,0,0,0,0,0,2,1,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,6,4,18,0,0,0,0,0,0,0,0,7,0,16,3,0,0,0,3,2,0,4,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,75,0,1,0,19,0,2,0,0,3,1,41,33,0,0,0,302,24,0,0,2,1,0,1,0,0,0,0,3,0,2,0,2,0,8,1,0,0,12,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",1170,"mgm4455780.3","soil","shrubland",0,18,2,225,77,0,0,4,0,0,0,0,0,7,2,0,0,0,0,45,0,0,0,0,8,0,0,0,0,0,0,0,41,7,9,0,0,0,0,0,1,2,0,0,6,0,4,0,0,23,0,3,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,14,17,0,0,1,0,0,1,0,11,6,0,0,56,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,20,3,0,0,0,0,0,243,2,0,0,4,81,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,8,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1106,"mgm4455781.3","soil","grassland soil",0,46,3,1,179,2,0,3,0,2,0,0,54,0,1,0,0,14,0,69,0,0,11,0,3,0,0,0,0,0,0,1,31,2,37,0,0,0,0,0,0,0,1,0,6,0,0,0,0,27,0,15,0,0,0,0,7,23,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,30,0,16,0,0,0,0,0,0,0,5,12,0,0,2,10,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,106,0,3,8,42,1,15,0,2,0,0,34,57,0,0,0,79,12,0,0,0,1,0,0,0,0,0,0,26,0,1,2,2,0,3,0,0,0,2,0,28,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1043,"mgm4455782.3","soil","soil",0,31,17,8,207,0,0,0,0,1,0,0,34,4,5,0,1,29,0,50,0,0,0,0,9,1,1,0,0,0,0,0,10,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,30,0,0,0,0,2,11,0,0,0,1,5,0,0,0,0,0,58,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,2,0,0,5,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,110,0,2,0,20,0,1,0,0,1,0,26,49,0,0,0,120,17,0,0,0,2,0,0,0,0,0,0,6,0,4,3,4,0,3,0,0,0,12,0,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1320,"mgm4455783.3","soil","soil",0,3,17,264,76,0,0,19,0,0,0,0,0,0,2,0,0,1,0,76,0,0,0,0,3,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,1,2,19,0,0,0,0,0,0,0,7,1,0,0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,79,0,0,2,26,0,0,0,22,0,0,356,0,0,0,0,46,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",1224,"mgm4455784.3","soil","soil",0,44,10,0,140,0,0,1,0,0,0,0,98,0,7,0,0,7,0,57,0,0,2,0,4,0,0,0,0,0,0,0,34,7,57,0,0,0,0,0,0,0,0,0,6,0,1,0,1,22,0,60,0,0,0,1,14,27,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,21,0,33,0,0,3,2,0,1,7,6,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,69,0,2,4,84,0,4,0,2,6,0,34,28,0,2,0,141,25,4,0,1,0,0,0,0,0,0,0,19,0,3,2,1,0,2,1,0,0,7,1,45,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1543,"mgm4455785.3","soil","soil",0,42,18,69,245,0,0,9,0,0,0,0,52,0,1,0,0,0,0,81,0,0,0,0,12,0,0,2,0,0,0,0,48,8,55,0,0,0,0,0,0,0,0,0,20,0,1,0,0,12,0,2,0,0,0,2,1,2,2,0,0,0,4,0,0,1,0,0,30,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0,11,0,36,0,4,0,1,3,4,0,6,4,0,0,0,1,0,0,0,0,1,0,0,0,0,5,2,0,1,0,1,0,0,88,0,0,3,28,0,1,0,0,0,0,178,46,0,0,0,278,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,1,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1107,"mgm4455786.3","soil","soil",0,20,31,10,45,0,0,7,0,10,0,0,13,3,4,0,0,50,0,61,4,2,4,0,17,0,4,0,1,0,0,0,71,6,42,0,0,0,0,0,3,0,1,0,0,2,0,0,0,22,0,21,0,0,0,3,4,6,0,0,0,2,1,0,0,0,0,1,16,0,0,2,0,0,0,0,13,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,11,0,37,0,0,7,5,5,0,0,37,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,1,10,2,0,0,0,89,0,0,11,18,15,0,0,2,0,2,54,14,0,0,0,117,25,2,0,0,3,0,0,0,0,0,0,3,1,13,2,4,0,0,0,0,0,7,2,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",1073,"mgm4455787.3","soil","forest soil",0,7,8,22,36,0,0,3,0,0,0,0,23,18,1,1,1,3,0,41,0,0,0,0,13,1,0,0,0,0,0,0,55,1,138,0,0,0,1,0,0,0,0,0,19,0,0,0,0,9,0,80,0,0,0,4,0,7,0,0,0,0,2,0,0,0,0,0,44,0,0,1,0,1,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,9,0,15,0,0,0,2,0,0,0,17,2,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,6,4,0,0,0,0,96,0,4,41,29,4,0,0,29,10,0,41,14,0,0,0,48,11,11,0,0,1,0,0,0,0,0,0,6,0,7,0,8,0,1,1,0,0,5,0,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1268,"mgm4455788.3","soil","soil",0,14,22,396,104,0,0,11,0,0,0,0,42,0,0,0,0,0,0,67,0,0,0,0,14,0,0,0,1,0,0,0,23,2,10,2,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,10,5,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,1,20,0,0,0,4,0,1,246,8,0,0,0,45,10,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,0,10,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
